personnel_id,rank,age,years_of_service,deployment_months,family_separation,leaves_availed,leaves_cancelled,duty_hours_per_day,transfers_last_2yr,night_shifts_per_month,incidents_exposed,training_days_yr,wellness_score,sleep_hours,exercise_freq_per_wk,social_support_score,risk_level
CAPF0001,Inspector,23,24,11,0,12,1,9.6,0,1,2,11,9.5,6.7,5,8.4,Low
CAPF0002,Head Constable,24,5,35,1,2,0,16.0,5,13,9,18,2.6,4.6,0,2.2,High
CAPF0003,Constable,29,15,16,1,16,5,10.0,1,6,3,2,4.7,5.6,1,4.0,Medium
CAPF0004,SI,35,16,21,1,1,0,15.0,4,17,6,14,3.9,4.9,0,3.3,High
CAPF0005,SP,36,13,9,1,22,0,9.9,0,4,1,0,7.4,7.8,6,7.1,Low
CAPF0006,Constable,49,7,8,0,19,2,8.8,1,2,2,8,9.2,8.3,5,8.4,Low
CAPF0007,Head Constable,22,5,10,0,9,7,10.2,1,12,2,25,6.7,6.5,2,4.9,Medium
CAPF0008,DSP,25,5,7,1,29,0,8.1,1,1,1,22,6.1,7.6,5,8.5,Low
CAPF0009,SP,49,12,20,1,9,7,10.6,2,11,4,11,5.9,6.4,2,4.2,Medium
CAPF0010,DSP,24,7,20,0,8,6,11.0,1,13,4,5,4.7,6.8,1,4.7,Medium
CAPF0011,Constable,23,3,23,0,14,5,10.7,2,12,4,16,5.2,5.3,1,3.3,Medium
CAPF0012,Constable,27,23,11,0,21,1,9.2,1,5,2,3,8.5,7.2,3,8.7,Low
CAPF0013,ASI,37,29,1,0,18,2,9.5,1,3,1,2,9.3,8.1,5,9.2,Low
CAPF0014,ASI,49,25,13,1,6,2,10.0,1,7,5,24,6.1,6.3,1,4.5,Medium
CAPF0015,SP,53,27,10,0,21,0,8.5,0,1,0,22,7.0,7.8,3,6.4,Low
CAPF0016,ASI,46,3,3,1,17,1,9.5,0,5,0,24,9.7,8.1,5,9.1,Low
CAPF0017,DSP,38,1,2,0,29,2,9.0,0,4,0,15,6.9,6.9,6,7.3,Low
CAPF0018,ASI,54,5,6,0,10,2,8.5,1,5,1,27,9.6,7.5,4,7.7,Low
CAPF0019,ASI,45,29,13,1,16,2,10.1,1,5,5,16,4.8,6.9,1,6.5,Medium
CAPF0020,SP,24,8,12,0,19,7,12.9,2,9,5,13,4.5,6.7,3,5.2,Medium
CAPF0021,SP,47,3,6,0,25,2,8.7,0,1,1,17,8.8,7.3,6,8.8,Low
CAPF0022,Inspector,36,28,31,1,2,0,14.5,5,16,8,1,2.2,5.0,1,1.2,High
CAPF0023,SP,54,8,6,0,15,2,8.7,1,5,0,20,6.1,8.6,4,6.1,Low
CAPF0024,SI,40,17,5,1,27,1,8.9,1,3,1,23,6.6,7.9,5,6.5,Low
CAPF0025,SI,53,22,10,0,10,2,8.2,1,4,1,15,8.8,8.6,3,6.2,Low
CAPF0026,Inspector,50,14,5,0,14,1,9.3,0,4,1,27,7.0,8.3,5,7.4,Low
CAPF0027,Constable,52,10,4,0,19,1,8.4,0,1,0,25,7.9,7.7,3,8.6,Low
CAPF0028,Constable,54,1,27,1,1,0,15.0,5,19,6,28,2.9,4.0,1,3.4,High
CAPF0029,Inspector,47,2,21,1,17,3,11.2,2,6,2,18,5.0,5.2,3,5.6,Medium
CAPF0030,SI,39,17,10,0,12,0,9.4,0,4,0,6,8.2,8.5,3,7.7,Low
CAPF0031,SP,46,22,23,0,18,5,11.7,2,11,2,12,4.3,6.5,3,6.6,Medium
CAPF0032,Constable,26,3,23,1,9,9,13.0,3,15,5,11,3.0,4.5,1,2.4,High
CAPF0033,ASI,50,11,5,1,14,2,9.5,0,0,2,10,9.9,6.7,4,10.0,Low
CAPF0034,SI,40,8,9,0,11,0,9.5,0,4,1,15,6.9,6.7,3,7.6,Low
CAPF0035,DSP,31,26,23,1,5,5,13.7,5,16,8,18,1.3,4.5,1,3.3,High
CAPF0036,ASI,54,6,2,0,26,0,8.9,1,3,0,20,9.0,8.6,5,8.3,Low
CAPF0037,SI,35,15,32,0,8,4,15.9,5,16,9,0,1.8,5.5,0,3.1,High
CAPF0038,DSP,49,28,12,0,14,3,12.7,2,12,3,4,4.8,5.9,1,3.8,Medium
CAPF0039,ASI,26,15,25,1,5,4,13.1,5,16,8,24,1.5,4.9,1,3.7,High
CAPF0040,DSP,46,22,11,0,9,3,11.7,1,12,2,26,7.0,6.6,2,3.6,Medium
CAPF0041,Inspector,44,5,20,1,4,4,14.4,5,12,9,20,3.1,4.1,1,2.6,High
CAPF0042,Head Constable,29,7,22,1,7,4,13.7,5,17,5,25,1.6,5.4,0,3.6,High
CAPF0043,DSP,35,2,15,0,19,6,12.5,1,5,3,10,6.6,6.9,2,4.6,Medium
CAPF0044,DSP,51,23,2,0,10,2,8.7,1,5,2,9,8.9,7.6,5,8.2,Low
CAPF0045,Inspector,32,19,32,1,1,0,13.4,3,13,5,14,1.1,4.4,1,2.9,High
CAPF0046,SP,26,18,11,0,28,2,8.3,0,3,0,27,8.1,8.7,5,9.9,Low
CAPF0047,DSP,43,15,5,0,18,1,9.1,0,3,1,23,8.0,8.7,3,8.8,Low
CAPF0048,SP,49,23,35,1,5,4,13.2,4,12,5,13,1.6,4.9,1,2.1,High
CAPF0049,Inspector,36,25,19,0,6,3,10.1,2,11,4,22,6.2,6.8,2,3.1,Medium
CAPF0050,Head Constable,39,15,7,0,19,2,8.6,0,1,1,3,7.4,6.8,3,7.9,Low
CAPF0051,Head Constable,54,21,17,1,15,6,11.8,2,13,2,21,5.8,5.7,2,4.0,Medium
CAPF0052,DSP,45,6,7,1,28,2,9.0,1,5,1,1,9.6,8.5,6,6.3,Low
CAPF0053,ASI,26,6,13,1,14,4,10.0,1,12,3,25,6.2,6.3,1,5.1,Medium
CAPF0054,ASI,24,1,4,0,13,0,9.0,0,0,1,5,8.3,8.4,4,6.6,Low
CAPF0055,Head Constable,51,17,5,1,20,2,8.1,1,4,1,4,8.7,6.7,5,9.0,Low
CAPF0056,SI,35,28,21,1,7,5,13.4,3,12,6,29,3.8,4.3,0,3.2,High
CAPF0057,Inspector,53,19,24,1,6,6,13.7,4,17,8,28,2.2,4.5,1,3.4,High
CAPF0058,SP,29,10,1,1,15,2,8.5,0,1,1,19,8.5,6.7,6,6.5,Low
CAPF0059,Inspector,25,22,20,1,0,0,14.6,4,15,9,1,3.1,4.2,0,3.3,High
CAPF0060,ASI,25,12,29,1,4,3,14.0,5,18,8,12,2.2,4.7,1,3.4,High
CAPF0061,SP,33,26,12,1,11,3,12.1,2,9,5,12,5.0,5.4,2,3.9,Medium
CAPF0062,Head Constable,50,14,9,1,18,1,8.5,0,2,0,7,8.6,8.8,6,9.1,Low
CAPF0063,ASI,42,15,26,1,2,0,13.4,5,13,8,8,2.0,4.2,0,1.9,High
CAPF0064,Head Constable,48,17,13,1,6,4,12.4,2,7,4,10,6.8,5.8,2,4.4,Medium
CAPF0065,ASI,28,17,3,0,27,0,8.5,0,3,1,19,7.4,6.6,3,8.3,Low
CAPF0066,SI,53,29,15,1,12,4,12.6,2,12,2,16,5.2,5.6,1,4.7,Medium
CAPF0067,DSP,25,1,8,0,15,2,9.2,0,2,2,7,7.8,7.8,4,7.6,Low
CAPF0068,SP,24,24,22,1,6,3,14.1,3,17,6,22,3.9,4.6,0,3.5,High
CAPF0069,Inspector,37,4,17,1,12,7,10.3,2,7,4,19,6.2,6.3,3,6.2,Medium
CAPF0070,Inspector,39,2,23,1,7,5,10.9,1,11,3,0,6.5,5.2,3,3.5,Medium
CAPF0071,SI,43,12,30,1,1,0,13.8,3,18,8,23,2.2,5.2,0,2.7,High
CAPF0072,DSP,43,11,8,0,16,0,10.0,1,0,1,13,9.0,6.6,4,8.8,Low
CAPF0073,Head Constable,46,6,32,1,0,0,13.5,3,14,6,25,2.7,4.8,1,1.8,High
CAPF0074,Inspector,42,28,19,0,17,2,10.4,2,10,4,29,6.0,6.2,1,3.7,Medium
CAPF0075,Head Constable,45,22,21,0,8,2,12.9,1,9,5,21,5.2,6.5,1,4.2,Medium
CAPF0076,Constable,30,9,19,0,13,3,10.1,2,7,5,7,6.9,5.1,2,3.6,Medium
CAPF0077,Constable,40,5,22,1,10,3,12.1,2,11,4,11,4.0,6.6,1,6.9,Medium
CAPF0078,Constable,37,6,32,1,0,0,15.4,5,12,8,7,3.3,4.8,1,2.9,High
CAPF0079,Constable,28,9,11,1,23,2,10.0,0,1,2,18,8.3,9.0,4,9.7,Low
CAPF0080,Head Constable,24,5,30,1,7,5,15.8,3,17,8,10,2.6,5.3,1,2.9,High
CAPF0081,SP,51,27,7,0,19,1,8.1,1,0,0,22,8.5,8.2,3,9.5,Low
CAPF0082,Head Constable,31,25,3,0,21,2,8.1,0,4,1,6,7.9,6.7,4,8.5,Low
CAPF0083,Constable,36,9,23,1,5,6,10.0,2,12,3,14,4.7,6.7,2,3.2,Medium
CAPF0084,SI,28,20,11,1,22,1,9.9,0,2,1,3,9.8,9.0,5,7.9,Low
CAPF0085,SI,44,17,6,0,15,0,9.2,0,1,2,8,6.1,6.9,4,9.8,Low
CAPF0086,Head Constable,46,9,20,1,7,7,13.5,5,13,6,3,3.7,5.0,1,2.4,High
CAPF0087,Head Constable,45,28,20,0,9,4,12.6,1,13,4,14,6.4,6.9,2,5.6,Medium
CAPF0088,ASI,48,13,5,0,28,1,8.1,0,4,0,12,9.4,8.7,3,8.0,Low
CAPF0089,ASI,28,5,17,0,15,7,10.7,2,13,2,10,6.8,6.7,1,3.4,Medium
CAPF0090,Constable,48,17,22,0,6,4,15.6,3,19,7,8,1.5,4.3,0,3.5,High
CAPF0091,SP,36,5,11,1,6,5,11.9,2,7,5,28,4.1,5.2,2,4.7,Medium
CAPF0092,SI,35,15,35,1,9,5,15.3,4,19,5,28,2.7,5.2,0,2.0,High
CAPF0093,ASI,50,4,12,0,6,7,11.8,2,5,3,16,4.8,5.7,3,3.0,Medium
CAPF0094,Constable,49,29,7,1,26,1,9.1,1,2,1,20,8.6,8.4,6,7.1,Low
CAPF0095,Inspector,46,24,30,1,2,0,15.9,3,16,7,11,3.7,4.5,1,1.7,High
CAPF0096,SI,45,28,20,0,11,4,12.9,1,5,2,25,5.4,6.6,3,5.1,Medium
CAPF0097,DSP,45,8,18,1,9,6,10.0,2,8,5,10,4.5,6.1,1,5.6,Medium
CAPF0098,Constable,38,12,27,1,5,5,14.4,3,13,7,24,3.9,5.0,0,3.7,High
CAPF0099,SP,34,20,15,1,17,7,11.9,1,12,5,25,5.6,6.9,1,3.4,Medium
CAPF0100,Head Constable,30,6,6,0,12,2,9.1,1,1,2,8,8.7,7.0,5,9.8,Low
CAPF0101,Constable,43,26,2,1,29,1,9.9,1,3,1,2,9.3,8.5,5,6.3,Low
CAPF0102,SI,50,23,10,1,23,0,8.9,1,3,2,20,9.5,8.1,3,6.9,Low
CAPF0103,ASI,50,22,21,1,7,4,11.7,1,10,2,14,5.5,7.0,1,3.3,Medium
CAPF0104,SI,53,9,1,1,27,0,9.7,0,4,0,3,9.1,7.4,6,8.0,Low
CAPF0105,Head Constable,42,15,4,1,12,0,9.7,1,5,2,0,7.1,7.2,5,7.4,Low
CAPF0106,SI,46,20,7,0,24,1,9.3,1,1,2,1,8.0,7.5,4,7.0,Low
CAPF0107,Constable,52,11,11,0,22,2,8.6,0,2,0,9,9.1,6.5,3,6.5,Low
CAPF0108,DSP,33,5,10,0,29,0,8.9,0,0,0,16,8.5,7.6,6,8.8,Low
CAPF0109,SI,50,1,27,1,4,4,14.8,4,15,7,22,4.0,4.2,1,1.4,High
CAPF0110,Inspector,46,18,5,0,20,1,8.2,1,2,1,28,9.9,8.2,6,9.9,Low
CAPF0111,SP,29,18,27,1,9,6,14.5,5,15,8,20,1.9,4.2,1,3.1,High
CAPF0112,Inspector,29,15,6,0,27,0,9.7,1,1,0,7,7.5,8.6,4,6.1,Low
CAPF0113,ASI,27,9,27,1,9,8,15.4,4,12,7,0,2.2,5.4,1,3.0,High
CAPF0114,Inspector,44,19,18,0,6,3,10.3,1,8,3,12,6.8,5.8,2,4.8,Medium
CAPF0115,DSP,53,17,25,1,8,3,14.9,3,12,8,2,3.1,4.9,0,2.2,High
CAPF0116,Head Constable,50,26,11,0,11,1,9.2,1,1,1,24,8.2,7.7,5,9.8,Low
CAPF0117,Head Constable,36,25,5,0,20,2,8.5,1,2,2,3,8.9,8.5,4,8.1,Low
CAPF0118,SP,51,18,23,1,2,0,15.8,4,13,9,1,1.9,4.9,0,1.9,High
CAPF0119,SI,41,4,10,0,19,0,8.2,1,3,1,21,8.8,8.5,5,6.4,Low
CAPF0120,Constable,31,24,31,1,9,3,13.1,5,14,9,25,2.5,4.9,1,2.8,High
CAPF0121,Head Constable,40,4,8,0,19,0,9.5,1,2,0,9,9.3,7.3,6,7.7,Low
CAPF0122,Head Constable,53,11,14,1,7,5,10.5,1,6,2,9,4.5,5.4,1,4.2,Medium
CAPF0123,Inspector,45,28,9,1,18,0,9.0,0,2,2,13,7.8,8.2,5,7.8,Low
CAPF0124,Head Constable,25,13,6,0,15,0,9.2,0,5,0,16,7.6,8.7,5,7.5,Low
CAPF0125,SI,23,6,24,1,5,4,13.2,5,19,6,16,2.0,5.0,1,2.0,High
CAPF0126,SP,37,12,33,1,9,8,14.0,4,13,8,16,3.1,5.4,0,1.6,High
CAPF0127,SI,42,20,3,0,10,0,9.9,1,3,2,5,8.9,6.9,3,9.1,Low
CAPF0128,SP,23,27,1,0,11,0,9.2,0,3,1,24,7.2,6.7,6,7.1,Low
CAPF0129,ASI,33,15,12,1,16,6,11.2,2,8,3,16,6.4,6.0,3,5.3,Medium
CAPF0130,Head Constable,23,3,3,0,12,1,9.3,0,5,1,17,7.2,6.9,5,6.3,Low
CAPF0131,Head Constable,27,25,35,1,3,0,15.8,5,16,5,12,1.4,5.4,1,3.7,High
CAPF0132,Inspector,23,28,2,0,15,0,9.0,0,4,0,22,7.8,8.8,6,6.4,Low
CAPF0133,ASI,42,9,5,0,28,0,9.6,0,1,1,27,8.5,9.0,3,7.2,Low
CAPF0134,ASI,28,27,7,0,29,1,9.4,0,3,2,27,8.5,7.1,3,7.2,Low
CAPF0135,SP,26,1,14,1,14,3,11.2,2,11,3,12,4.1,5.3,1,4.0,Medium
CAPF0136,Head Constable,39,8,5,0,13,1,8.4,1,3,0,2,8.6,6.8,6,8.0,Low
CAPF0137,SI,31,18,6,1,25,0,8.8,0,0,0,25,7.3,6.8,6,8.8,Low
CAPF0138,Inspector,29,13,11,0,14,0,9.0,0,5,0,7,7.8,8.0,6,9.5,Low
CAPF0139,ASI,28,19,1,0,20,2,8.1,0,0,0,27,7.4,7.8,6,7.2,Low
CAPF0140,Head Constable,23,15,5,1,17,0,9.1,0,1,1,17,9.9,6.7,6,7.2,Low
CAPF0141,SI,34,21,4,0,17,1,9.5,1,1,2,15,7.3,6.6,4,6.5,Low
CAPF0142,SI,43,20,21,1,9,3,13.4,4,19,6,29,2.1,4.3,0,2.7,High
CAPF0143,SI,34,21,35,0,8,4,14.5,3,16,7,29,3.6,5.0,1,3.5,High
CAPF0144,DSP,52,15,26,0,4,3,13.5,5,19,7,18,1.1,4.4,1,1.5,High
CAPF0145,SI,29,10,6,0,24,0,9.1,1,2,2,25,8.8,6.8,5,9.5,Low
CAPF0146,Constable,23,9,5,0,16,2,9.8,0,2,1,15,8.2,8.1,3,8.9,Low
CAPF0147,SI,37,19,23,1,3,0,13.0,5,17,8,22,3.2,5.1,1,3.3,High
CAPF0148,ASI,42,10,14,0,9,7,10.4,2,8,5,5,5.8,6.6,2,4.6,Medium
CAPF0149,SI,51,18,9,0,29,1,8.8,1,3,0,18,6.4,8.1,6,6.9,Low
CAPF0150,SI,51,23,3,0,28,0,9.0,1,5,0,16,8.8,8.4,4,9.2,Low
CAPF0151,Head Constable,27,15,13,1,19,4,10.2,1,13,5,13,5.3,5.6,1,5.5,Medium
CAPF0152,SP,27,17,18,0,18,7,12.9,1,8,2,26,4.1,7.0,3,3.1,Medium
CAPF0153,Inspector,25,7,3,0,14,1,8.5,1,2,0,6,7.9,8.6,3,7.7,Low
CAPF0154,Constable,45,12,17,1,8,6,12.2,2,10,3,9,6.3,6.2,1,5.6,Medium
CAPF0155,SI,39,26,7,1,22,2,8.5,1,1,1,10,9.1,7.6,3,6.3,Low
CAPF0156,SI,42,18,2,0,21,1,8.8,0,1,2,4,9.5,8.9,5,7.6,Low
CAPF0157,Head Constable,28,22,14,1,9,5,11.7,1,13,2,22,4.5,6.2,1,3.1,Medium
CAPF0158,Inspector,42,5,22,1,6,2,12.6,2,13,4,1,5.8,6.4,1,3.9,Medium
CAPF0159,Constable,53,7,11,1,14,4,10.3,2,7,2,20,5.5,6.5,3,6.2,Medium
CAPF0160,SP,47,17,4,0,17,1,9.5,1,4,2,1,7.0,8.7,6,9.8,Low
CAPF0161,DSP,32,24,3,0,20,2,9.8,0,3,2,11,7.8,6.8,6,7.6,Low
CAPF0162,SI,27,12,21,0,14,5,12.3,2,12,4,1,6.7,6.3,3,5.1,Medium
CAPF0163,ASI,25,6,3,0,25,2,9.8,0,5,0,13,6.7,8.0,5,9.6,Low
CAPF0164,Constable,48,5,11,1,15,1,9.0,0,4,2,24,8.5,6.8,4,6.7,Low
CAPF0165,SI,32,2,9,0,27,1,9.6,0,5,0,14,9.4,8.9,6,9.3,Low
CAPF0166,Constable,39,26,14,1,6,2,10.8,1,9,5,10,6.2,6.7,2,4.7,Medium
CAPF0167,DSP,41,28,10,1,16,7,12.5,1,7,2,0,5.0,5.3,2,5.7,Medium
CAPF0168,SP,30,3,35,1,3,0,14.9,3,12,9,27,2.2,4.0,0,3.3,High
CAPF0169,Head Constable,40,14,12,1,12,7,12.7,1,11,4,26,5.4,5.2,2,6.5,Medium
CAPF0170,Constable,41,13,17,1,7,2,12.2,2,11,3,6,6.9,6.7,3,6.3,Medium
CAPF0171,Constable,54,24,20,1,5,7,11.9,1,7,4,19,4.4,5.9,2,3.3,Medium
CAPF0172,ASI,37,29,5,0,23,1,8.6,0,5,0,29,9.5,6.6,6,9.5,Low
CAPF0173,DSP,30,29,31,1,0,0,14.7,3,13,9,8,1.8,4.8,0,1.7,High
CAPF0174,Constable,50,22,11,1,13,4,12.6,2,11,4,7,5.3,5.2,2,6.1,Medium
CAPF0175,DSP,48,23,23,1,1,0,15.4,4,18,8,8,3.4,4.2,1,3.9,High
CAPF0176,SP,50,13,15,0,14,2,10.2,1,5,2,16,6.7,5.9,2,4.0,Medium
